Time_ms,Voltage_mV
174.0,-74.57550897057416
174.5,-74.52370958960883
175.0,-74.4249056021662
175.5,-74.30222640004288
176.0,-74.16737492206862
176.5,-74.02625943138955
177.0,-73.88187181502917
177.5,-73.7357338934239
178.0,-73.5886218758153
178.5,-73.44093052164511
179.0,-73.29285744062672
179.5,-73.14449714667647
180.0,-72.99588948844013
180.5,-72.84704481277943
181.0,-72.69795715107384
181.5,-72.54861117995158
182.0,-72.39898591356423
182.5,-72.24905666190972
183.0,-72.09879605883114
183.5,-71.94817458432388
184.0,-71.79716080741042
184.5,-71.6457214710269
185.0,-71.49382148444896
185.5,-71.34142385865
186.0,-71.18848960356233
186.5,-71.03497759713915
187.0,-70.88084443100924
187.5,-70.72604423456454
188.0,-70.57052847753326
188.5,-70.41424574993465
189.0,-70.25714151747951
189.5,-70.099157849804
190.0,-69.94023311830264
190.5,-69.78030165969227
191.0,-69.61929340075014
191.5,-69.4571334388896
192.0,-69.29374157233069
192.5,-69.12903177255922
193.0,-68.96291159050305
193.5,-68.79528148634542
194.0,-68.62603407108023
194.5,-68.45505324572862
195.0,-68.28221322148292
195.5,-68.10737740081748
196.0,-67.93039709565933
196.5,-67.75111005386196
197.0,-67.56933875923912
197.5,-67.38488846298601
198.0,-67.19754489504719
198.5,-67.00707159236221
199.0,-66.81320676624695
199.5,-66.61565961253835
200.0,-66.4141059443213
200.5,-66.20818299642279
201.0,-65.99748321115851
201.5,-65.7815467629759
202.0,-65.55985251139627
202.5,-65.33180698105994
203.0,-65.09673084630762
203.5,-64.85384223356247
204.0,-64.60223593043409
204.5,-64.3408572805172
205.0,-64.06846910958711
205.5,-63.78360941557045
206.0,-63.484536674634604
206.5,-63.16915833442698
207.0,-62.834936170197416
207.5,-62.47875932746896
208.0,-62.0967715019887
208.5,-61.68413186409375
209.0,-61.23467838055988
209.5,-60.74044421212549
210.0,-60.19094754383436
210.5,-59.572122457206255
211.0,-58.864663456046095
211.5,-58.041378331415004
212.0,-57.06279555230124
212.5,-55.86955366076048
213.0,-54.36852622511243
213.5,-52.4059360045456
214.0,-49.711243742956114
214.5,-45.76872126923409
215.0,-39.486784291895916
215.5,-28.203712640245584
216.0,-3.9867687126718785
216.5,-65.0
217.0,-68.2268171856037
217.5,-70.85543749780483
218.0,-72.67389748863492
218.5,-73.7467076883124
219.0,-74.28705937614077
219.5,-74.5052864544308
220.0,-74.54666456648903
220.5,-74.4956437439104
221.0,-74.39734520648929
221.5,-74.27497783430115
222.0,-74.14031182531775
222.5,-73.99930235014327
223.0,-73.8549713830295
223.5,-73.70885922094054
224.0,-73.56175313555869
224.5,-73.41405439885915
225.0,-73.26596440012038
225.5,-73.11757980941782
226.0,-72.96894167143527
226.5,-72.82006096061015
227.0,-72.67093199706191
227.5,-72.52153954137947
228.0,-72.3718625649075
228.5,-72.22187625328318
229.0,-72.07155306043556
229.5,-71.92086324559466
230.0,-71.76977512417473
230.5,-71.6182551566535
231.0,-71.46626794253136
231.5,-71.3137761556649
232.0,-71.16074044046306
232.5,-71.00711927913507
233.0,-70.85286883493725
233.5,-70.69794277333172
234.0,-70.54229206112946
234.5,-70.38586474249925
235.0,-70.22860568986519
235.5,-70.07045632701906
236.0,-69.91135432113195
236.5,-69.75123323969564
237.0,-69.59002216771579
237.5,-69.42764527967205
238.0,-69.26402135982808
238.5,-69.09906326337372
239.0,-68.9326773095769
239.5,-68.7647625965611
240.0,-68.59521022544956
240.5,-68.42390241935125
241.0,-68.25071151991854
241.5,-68.07549884085945
242.0,-67.89811335369194
242.5,-67.71839017599274
243.0,-67.53614882616917
243.5,-67.35119120105348
244.0,-67.16329922296586
244.5,-66.97223209076954
245.0,-66.77772305412772
245.5,-66.57947561070466
246.0,-66.3771590011458
246.5,-66.1704028445835
247.0,-65.95879071577444
247.5,-65.74185241052055
248.0,-65.51905457423891
248.5,-65.28978927308655
249.0,-65.05335995894713
249.5,-64.80896410600383
250.0,-64.55567155895784
250.5,-64.29239730391787
251.0,-64.017866912022
251.5,-63.730572251771775
252.0,-63.42871412513511
252.5,-63.11012710871177
253.0,-62.77217984309112
253.5,-62.4116409364362
254.0,-62.02449591348875
254.5,-61.60569320212601
255.0,-61.14878519088746
255.5,-60.645410673396604
256.0,-60.084531557397966
256.5,-59.45127819703474
257.0,-58.72515160446493
257.5,-57.87713054314944
258.0,-56.864835812644635
258.5,-55.62407964643131
259.0,-54.053301085180415
259.5,-51.983031736774
260.0,-49.11119445841316
260.5,-44.85215134919475
261.0,-37.938256490417984
261.5,-25.180955471904127
262.0,3.364753446951269
262.5,-65.0
263.0,-68.23789647433262
263.5,-70.87494486491873
264.0,-72.69772527312922
264.5,-73.7715470069788
265.0,-74.31130065438126
265.5,-74.5285446395635
266.0,-74.5690722596542
266.5,-74.5174465004196
267.0,-74.41875512184207
267.5,-74.29614534119202
268.0,-74.16133513337394
268.5,-74.02024322966403
269.0,-73.87586822288412
269.5,-73.72973604705214
270.0,-73.58262537194994
270.5,-73.4349324042439
271.0,-73.28685559280807
271.5,-73.13848992985105
272.0,-72.98987552906583
272.5,-72.84102287620605
273.0,-72.6919260664043
273.5,-72.54256979466244
274.0,-72.39293306543067
274.5,-72.24299116095193
275.0,-72.0927166750192
275.5,-71.94208003853629
276.0,-71.79104976416305
276.5,-71.63959253208363
277.0,-71.48767318276948
277.5,-71.3352546523308
278.0,-71.18229786954055
278.5,-71.02876162449363
279.0,-70.87460241372843
279.5,-70.71977426366507
280.0,-70.56422853241929
280.5,-70.40791368888371
281.0,-70.25077506713146
281.5,-70.09275459351706
282.0,-69.93379048322124
282.5,-69.77381690235026
283.0,-69.6127635910054
283.5,-69.45055544195354
284.0,-69.28711202861811
284.5,-69.1223470750369
285.0,-68.95616785916033
285.5,-68.78847453934296
286.0,-68.61915939205325
286.5,-68.44810594662293
287.0,-68.27518800018385
287.5,-68.10026849268775
288.0,-67.92319821792445
288.5,-67.74381434156389
289.0,-67.56193869120901
289.5,-67.377375775951
290.0,-67.18991048356615
290.5,-66.99930539175664
291.0,-66.80529761502434
291.5,-66.6075950899531
292.0,-66.40587217762526
292.5,-66.19976443094737
293.0,-65.9888623345339
293.5,-65.7727037723882
294.0,-65.55076490960207
294.5,-65.32244908263796
295.0,-65.08707316991864
295.5,-64.8438507482305
296.0,-64.59187111320263
296.5,-64.33007292802542
297.0,-64.05721082528312
297.5,-63.77181266460609
298.0,-63.47212425561021
298.5,-63.156037054259045
299.0,-62.82099241458782
299.5,-62.46385307706248
300.0,-62.080728123875474
300.5,-61.66673065970184
301.0,-61.21563630651741
301.5,-60.719392252573314
302.0,-60.167395607781515
302.5,-59.54540583838698
303.0,-58.83385869424369
303.5,-58.00516638209279
304.0,-57.01923027237647
304.5,-55.815651500433376
305.0,-54.299497957447414
305.5,-52.313649817693154
306.0,-49.58089108889553
306.5,-45.57081105115292
307.0,-39.15523897951172
307.5,-27.564573757083775
308.0,-2.4627915810692365
308.5,-65.0
309.0,-68.22910657047622
309.5,-70.85946883333021
310.0,-72.67882269297507
310.5,-73.75184315656297
311.0,-74.29207204644166
311.5,-74.51009623480947
312.0,-74.55129854819917
312.5,-74.50015255733743
313.0,-74.40177267446565
313.5,-74.27935507767967
314.0,-74.14465918060013
314.5,-74.00363261847895
315.0,-73.85929252553997
315.5,-73.7131762230306
316.0,-73.56606919912562
316.5,-73.41837167481296
317.0,-73.27028442884992
317.5,-73.12190378268642
318.0,-72.97327058741365
318.5,-72.82439571574646
319.0,-72.67527344088627
319.5,-72.52588850965026
320.0,-72.37621990014372
320.5,-72.22624281797987
321.0,-72.07592974606811
321.5,-71.92525097924009
322.0,-71.77417487383327
322.5,-71.62266793592146
323.0,-71.47069481502386
323.5,-71.31821823944136
324.0,-71.1651989126244
324.5,-71.01159538071389
325.0,-70.85736387617789
325.5,-70.7024581394445
326.0,-70.54682921860056
326.5,-70.39042524604007
327.0,-70.23319119009146
327.5,-70.0750685789604
328.0,-69.91599519368515
328.5,-69.75590472615234
329.0,-69.59472639751384
329.5,-69.432384531545
330.0,-69.2687980765547
330.5,-69.10388006836483
331.0,-68.93753702557653
331.5,-68.76966826678984
332.0,-68.60016513757583
332.5,-68.42891013274996
333.0,-68.25577589676305
333.5,-68.08062408170015
334.0,-67.9033040383065
334.5,-67.7236513104543
335.0,-67.54148589727961
335.5,-67.3566102395384
336.0,-67.16880687714041
336.5,-66.97783571277823
337.0,-66.78343080135936
337.5,-66.58529656561974
338.0,-66.38310331356953
338.5,-66.17648190157261
339.0,-65.96501734553857
339.5,-65.74824112868293
340.0,-65.52562188310567
340.5,-65.29655402778026
341.0,-65.06034381855376
341.5,-64.81619209372744
342.0,-64.5631727633202
342.5,-64.3002057642351
343.0,-64.02602274716169
343.5,-63.739123113710654
344.0,-63.437717091440454
344.5,-63.119651176008134
345.0,-62.782309255242986
345.5,-62.42247969028015
346.0,-62.0361739543521
